Name,Issue Type,Priority,Rank,Status,Target Sprint,Build Number,Opened Date,Opened Time,Days old,Attachments,Assigned to,Progress Comments,Description,Duplicates?,Bug source,Associated features,Created by,Notification status,If complete,Closed,Notified users?,Status Time Changed,Date Completed,Minutes To Completion
Change Accolade to Shoutout,UI Fix,High,,Complete,,13,2019-11-10,11/10/2019 12:50pm,272,,Adam Galper,,Use Shoutout terminology throughout app,,,UI,,⚠️ Need to notify,1,1,,11/10/2019 1:14pm,2019-11-10,24
Change Conversation to Chat,UI Fix,High,,Complete,,13,2019-11-10,11/10/2019 12:52pm,272,,Adam Galper,,Use Chat instead of Conversation,,,UI,,⚠️ Need to notify,1,1,,11/13/2019 1:56pm,2019-11-13,4384
Nothing defined in this statement yet: whatIs.guessWhy,Content Fix,Critical,,Complete,,18,2019-11-13,11/13/2019 6:23am,269,,Adam Galper,,The statement whatIs.guessWhy should display the Attribute Onboarding.whyWomenQuit. ,,Nicole found this when reviewing content in the new build,,Nicole Johnson,⚠️ Need to notify,1,1,,11/13/2019 2:11pm,2019-11-13,467
Nothing defined in this statement yet: whatIs.spent,Content Fix,Critical,,Complete,,18,2019-11-13,11/13/2019 6:27am,269,,Adam Galper,,The statement whatIs.spent should display the Attribute Onboarding.spentOnCareer,,Nicole found this when reviewing content in the new build,,Nicole Johnson,⚠️ Need to notify,1,1,,11/13/2019 2:11pm,2019-11-13,463
Quick Add Shoutout Spinning from Career and Home,Build Issue,Critical,,Complete,,18,2019-11-13,11/13/2019 7:28am,269,,Adam Galper,,,,,,,⚠️ Need to notify,1,1,,11/13/2019 1:56pm,2019-11-13,387
"Feelings are empty (no fields listed) in Accomplishments and Shoutouts until Main feelings are completed, ",Build Issue,Critical,,Complete,,18,2019-11-13,11/13/2019 7:31am,269,,Adam Galper,, but details is open. Seems like Feelings and Details should just be either both be locked until those are complete (which I don't like) or both can open and be browsed.,,,,,⚠️ Need to notify,1,1,,11/13/2019 12:29pm,2019-11-13,298
Schema Career Plan,Content Fix,Normal,,Complete,,18,2019-11-13,11/13/2019 8:02am,269,,,,We need to get some of the other content fields in For Plan Advancements Motivation and Goal: can motivation be seen separately from Advancement or just in the Career Plan view?,,,,,⚠️ Need to notify,1,1,,11/24/2019 12:02pm,2019-11-24,16079
"multiple statements returning in Quick Fix Job negotiation when script, power and instruction are all selected",Functional Bug,Critical,,Complete,,23,2019-11-22,11/21/2019 5:25pm,260,,"Adam Galper,Nicole Johnson",,"I used the pattern: @hasMultipleOptionsSelected($$, [ ""negFix.script"", ""negFix.instruction"" ]) AND !@hasOptionSelected($$, ""negFix.power"")
@hasMultipleOptionsSelected($$, [ ""negFix.script"", ""negFix.power"" ]) AND @!hasOptionSelected($$, ""negFix.instruction"")
@hasMultipleOptionsSelected($$, [ ""negFix.instruction"", ""negFix.power"" ]) AND @!hasOptionSelected($$, ""negFix.script"")

but the statements are still being returned. ",,Testing the Job Negotiation Quick Fix,,Nicole Johnson,⚠️ Need to notify,1,1,,11/24/2019 10:59am,2019-11-24,3933
change chat names in Conversation Airtable to contain no spaces,Unsure,High,,Complete,,20,2019-11-14,11/14/2019 2:40pm,268,,"Nicole Johnson,Adam Galper",,Change all conversation names in the Name column in the Conversation table to contain no spaces after the 11/18 build,,Discussion in person on 11/13,,Nicole Johnson,⚠️ Need to notify,1,1,,12/3/2019 12:49pm,2019-12-03,27248
change statement and attributespec names from x.y.z format to x.y format,Unsure,High,,Complete,,20,2019-11-14,11/14/2019 2:43pm,268,,"Nicole Johnson,Adam Galper",,Change the statement names in the Statement table from the x.y.z format to x.y format after the 11/18 build.,,Discussion in slack on 11/12,,Nicole Johnson,⚠️ Need to notify,1,1,,12/3/2019 12:49pm,2019-12-03,27245
