Name,Issue Type,Priority,Rank,Status,Opened Time,Days old,Attachments,Assigned to,Progress Comments,Description,Duplicates?,Bug source,Associated features,Created by,Date Completed,Minutes To Completion
"SHARE: Ability to Share a CHEA SEED content (Statement, Tile....) to operating system (social media, texting or email)",New Feature,Critical,1,In progress,1/13/2020 8:25am,201,,,,Getting direction from Vamsi ETA Friday evening,,,,,,
"SHARE GUIDES and SCRIPTS: sharing out the guides and scripts; 
web page landings for scripts and guides at cheaseed.com so we can count hits by each item",New Feature,Critical,1,In progress,1/13/2020 12:14pm,201,,,"4.17.2020 We propose adjustments to the button at the bottom of the screen. We'd like two buttons. 
- A button on the left that is chea seed pink (#E0098A) with bold, black text. The text for this button is ""Join our beta"" 
- A button on the right side of the page that is black with bold white text. This button will say ""Learn about chea seed"" 
- A question we have is which pages will these buttons take you to?
----------------------
Share a link of a dynamic page that displays a single statement in a frame; include tracking of page views

6.30.2020 Update to track at firebase and mixpanel.",,,,,,,
INFRASTRUCTURE: A chea seed web page. Includes waitlist sign up for future beta testers and Content Web Page for Non App Users from Share (based on Statement). See description.,New Feature,Critical,1,In progress,1/17/2020 6:07pm,196,,Adam Galper,"Fix the home page, remove everything below signup to beta list.","From 3.23.2020 Meeting: 
We need to design this page: Content Web Page for Non App Users from Share (based on Statement)
Include on it “Sign up here to join the waitlist”

OR

On the chea seed website, we want to have: this is what we are, here is the waitlist, sign up here to be on the waitlist for testing the beta. 
----------------------------------------------
1.16.2020 A chea seed web page. Includes waitlist sign up for future beta testers and Content Web Page for Non App Users from Share (based on Statement). See description.

1.16.2020 chea seed web page: Beta tester can invite others to chea seed and they can sign up and join a wait list",,,,,,
CHEA SEED WEBSITE: Changes to cheaseed.co discussed on 7/16/2020,New Feature,Critical,1,In progress,7/16/2020 5:51pm,15,,,,"Cleaned up document with website mockups and specifics: https://docs.google.com/document/d/1F3avqrr9QRyJ8UM8SxNihypRY6chsXDMw3eRFa4qRgM/edit?usp=sharing
- If you would like me to break the document out within this issue, let me know- NJ

cheaseed.co homepage
- on the homepage there is an ""About us"" accordion

confirmation page
- on the confirmation page there is a generic shareable link at the bottom 

guide/script landing pages
- the cheaseed.co link at the bottom of the page directs the user to the homepage. 
- If the user signs up from the landing page, she is directed to the confirmation page. 

We will also want to make sure cheaseed.com redirects to cheaseed.co rather than https://chea3.webflow.io/

",,,,,,
ADVANCED TOOLS: Exporting users data and reimporting users data,New Feature,Critical,2,In progress,2/14/2020 6:16pm,168,,Adam Galper,,Exporting users data and reimporting users data. This will address the requirement of managing and maintaining demo users over time.,,,,,,
ADVANCED TOOLS: A webpage (github?) for reviewing the Choose Your Journey sequence advisor. ,New Feature,Critical,2,In progress,5/29/2020 10:55am,64,,,See https://cheaseed.github.io/cheaseed-prototype/,We discussed posting the Choose Your Journey sequence advisor code to a webpage (I think we said as part of our current github?) so Nicole can review and confirm it is executing the logic as we expect. ,,,,,,
RULES for Newsflash,New Feature,Critical,3,Ready for Review (on dev),1/16/2020 1:58pm,198,,,"7.14.2020 We've tested, and it looks done, but we want to continue testing so we have not marked as complete. 
-----
Document rules
Deal with numeric badge on icon
Format messages page
Handle expirations",https://docs.google.com/document/d/1k_Fpj0T3aJ2WB9bhFpFDcnaK4Ntgy3YxGJTo9aEFKs4/edit?usp=sharing,,,,,,
RULES for UpNext,New Feature,Critical,3,Ready for Review (on dev),6/3/2020 6:31pm,58,,,"7.14.2020 Can we accelerate the fixed schedule to 2 hours for testing period? This will also help with testing if cards start falling off at 20 b/c it's hard for us to get our UpNext to 20. 

Evaluate UpNext size on user remove.

Pull first Master chat that's not consumed. Pull first Engagement chat that's not consumed. When there are none of either, do nothing.

Store user key for LastWeeklyUpNextRefillDate. On Home tab selection, check if current date is >, if so populate UpNext as above and reset user key.","NEW UpNext Rules (from Problem Statements v.3 doc) 
1. When there is only 1 card remaining in UpNext, we populate UpNext with 1 chat from the Master Sequence and 1 chat from the Engagement Sequence. 
2. Each week, on a fixed schedule, and independent of whether she is consuming content or not, we populate UpNext with 1 chat from the Master Sequence and 1 chat from the Engagement Sequence. 
    a. The week is based off of her user create date
    b. Engagement is loaded 2nd (positioned 1st)
3. When a user consumes a chat, independent of where she finds the chat, the Master Sequence and/or the Engagement Sequence skip that chat when populating UpNext. 
    a. If you have consumed something in the past through whatever means, skip it in the Master or Engagement Sequence.
4. No expiration dates on the UpNext.
    a. Once UpNext reaches 20 cards, the oldest cards fall off. 

ALREADY IMPLEMENTED UpNext Rules
1. When in a chat, and a QueueAction queues chats into UpNext.
2. When she goes through Choose Your Journey or adds another Series to her playlist, the very first of her playlist is always in UpNext. ",,,,,,
MESSAGING RULES: Provide immediate feedback for EntryMilestoneRule instances,New Feature,Critical,3,In progress,7/5/2020 3:57pm,27,,Adam Galper,"For TakeCreditEntryRule and SatisfactionEntryRule we get Newsflashes, but we don't get a dialog. ","1. When entry milestones are reached, provide a dialog with immediate feedback rather than a notification.",,,,,,
UPNEXT: Unknown card showing up in UpNext,Functional Bug,Critical,4,New,7/18/2020 2:24pm,14,Image from iOS (2).png (https://dl.airtable.com/.attachments/95e3e3588dee04a5b8301be17281d0a0/e80fd568/ImagefromiOS2.png),,,The UNKNOWN Chat card displayed in UpNext after consuming a chat,,,,,,
